orig_sent,sent_id,simp_sent,fluency,meaning,simplicity,ref_1,bt_de,bt_zh
"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",1,One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.,55.33333333,34.66666667,34.06666667,"On one side of the conflicts are the Sudanese military and the Janjaweed, a Sudanese militia group.  They are mostly recruited from the Afro-Arab Abbala tribes.","On one side of the conflict are the Sudanese military and the Janjaweed, a Sudanese militia group. They are mostly recruited from the Afro-Arab Abbala tribes.","On one side of the conflict was the Sudanese army and the Sudanese militia group, the Janjaweed, most of whom were recruited from the African-Arab Abala tribe."
The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,3,The Great Dark Spot is thought to be a hole in the cloud deck of Neptune.,86.26666667,85.86666667,78.53333333,The dark spot on Ne;tune may be a hole in the methane clouds.,The dark spot on Ne;tune can be a hole in the methane clouds.,Ne's black spot; Tune could be a hole in the methane cloud.
"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.",5,"The crawled, the trickster character, builds a black cord and, connects it to the ball, tarantula away fast to the east, pulling on the cord with all his strength.",24.8,45.46666667,31.53333333,"The tarantula spun a black cord and attached it to the ball. It crawled away fast to the east, pulling on the cord.",The tarantula spinned a black cord and fastened it to the ball. She quickly crawled east and pulled the cord.,"It climbs east, pulls the rope."
"There he died six weeks later, on 13 January 888.",6,"There, he died.",81.86666667,44.06666667,54.26666667,He died there six weeks later on 13 January 888.,"He died there six weeks later on January 13, 888.","Six weeks later, he died there on 13 January 888."
They are culturally akin to the coastal peoples of Papua New Guinea.,7,They are culturally referring to the coastal peoples of Papua New Guinea.,93.6,50.73333333,46.06666667,They are culturally similar to the coastal peoples of Papua New Guinea.,They are culturally similar to the coastal peoples of Papua New Guinea.,They are culturally similar to Papua New Guinea's coastal people.
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",8,", the recipient has been presented.",44.06666667,8.533333333,18.73333333,"Since 2000, the recipient of the Kate Greenaway Medal has also won the £5000 Colin Mears Award.","Since 2000, the winner of the Kate Greenaway Medal has also won the £5000 Colin Mears Award.","Since 2000, the Kate Greenaway Award winner of the Kate Greenaway Medal has also received the £5,000 Colin Mills Award."
"Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.",9,"Following the drummers are dancers, who often play the sogo (a small drum that makes almost no sound) and tend to have more elaborate -- even acrobatic -- choreography.",88,85.06666667,58.8,"After the drummers are dancers, who often play the sogo (a tiny drum making almost no sound) and usually hav more elaborate — even acrobatic — choreography.",After the drummers are dancers who often play the sogo (a tiny drum that almost doesn't make any sound) and usually have more elaborate — even acrobatic — choreography.,"When drummers become dancers, they often play seeds (a little drum with little voice) and are usually more sophisticated — even acrobats — dance."
"The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.",10,"The spacecraft is named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.",81.8,52.4,49.53333333,"The spacecraft's two main elements are the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.","The two main elements of the spacecraft are the NASA orbiter Cassini, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.","The two main elements of the spacecraft were the NASA Cassini Orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christian Wilkins."
"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.",11,Sandro Mazzola (born 8 November 1942) is a former Italian football player.,95.2,89.66666667,72.8,"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former footballer.","He was born in Sandro, Italy.",Alessandro (“Sandro”) Mazzola (born on 8 November 1942) is a former Italian football player.
"However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.",14,"However, the BZÖ differs a little bit in respect to the Freedom Party, as is in favour of a poll about the Lisbon Treaty but from an EU-Withdrawal.",64.93333333,69.13333333,41.86666667,"However, the BZO is not the same as the Freedom Party.","However, the BZO is not the same as the Freedom Party.","However, "" free organizations "" are different from "" free parties "" ."
